"gen","tier","elo","year","month","usage_link","team_link"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-1500.txt"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ou-1500.txt"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/ou-1500.txt"
"6","ou",1695,2014,11,"https://www.smogon.com/stats/2014-11/ou-1695.txt","https://www.smogon.com/stats/2014-11/metagame/ou-1695.txt"
"6","ou",1825,2014,11,"https://www.smogon.com/stats/2014-11/ou-1825.txt","https://www.smogon.com/stats/2014-11/metagame/ou-1825.txt"
"6","pu",0,2014,11,"https://www.smogon.com/stats/2014-11/pu-0.txt","https://www.smogon.com/stats/2014-11/metagame/pu-0.txt"
"6","pu",1500,2014,11,"https://www.smogon.com/stats/2014-11/pu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/pu-1500.txt"
"6","pu",1630,2014,11,"https://www.smogon.com/stats/2014-11/pu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/pu-1630.txt"
"6","pu",1760,2014,11,"https://www.smogon.com/stats/2014-11/pu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/pu-1760.txt"
"6","ru",0,2014,11,"https://www.smogon.com/stats/2014-11/ru-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ru-0.txt"
"6","ru",0,2014,11,"https://www.smogon.com/stats/2014-11/ru-0.txt","https://www.smogon.com/stats/2014-11/metagame/ru-0.txt"
"6","ru",1500,2014,11,"https://www.smogon.com/stats/2014-11/ru-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ru-1500.txt"
"6","ru",1500,2014,11,"https://www.smogon.com/stats/2014-11/ru-1500.txt","https://www.smogon.com/stats/2014-11/metagame/ru-1500.txt"
"6","ru",1630,2014,11,"https://www.smogon.com/stats/2014-11/ru-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ru-1630.txt"
"6","ru",1630,2014,11,"https://www.smogon.com/stats/2014-11/ru-1630.txt","https://www.smogon.com/stats/2014-11/metagame/ru-1630.txt"
"6","ru",1760,2014,11,"https://www.smogon.com/stats/2014-11/ru-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ru-1760.txt"
"6","ru",1760,2014,11,"https://www.smogon.com/stats/2014-11/ru-1760.txt","https://www.smogon.com/stats/2014-11/metagame/ru-1760.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-0.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-0.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-0.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-0.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1500.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1500.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1500.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1500.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1630.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1760.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/uu-0.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1500.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1630.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/smogondoublesuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1760.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/ubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-0.txt"
"6","ubers",0,2014,11,"https://www.smogon.com/stats/2014-11/ubers-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-0.txt"
